ArtistId,ArtistTitle,ArtistDescription,,
001aJOc7CSQVo3XzoLG4DK,One Way,chicago soul classic funk rock disco electro funk funk rock memphis soul motown new jack swing post-disco quiet storm soul southern soul urban contemporary ,,
00YTqRClk82aMchQQpYMd5,Our Last Night,metalcore pop punk rap metal screamo ,,
014WIDx7H4BRCHB1faiisK,Los Tucanes De Tijuana,banda grupera latin hip hop norteno ranchera regional mexican regional mexican pop ,,
01N1aZStXA4yGvkz4vRXtJ,Doc Watson,acoustic blues appalachian folk bluegrass blues country blues country rock cowboy western delta blues folk folk christmas new americana old-time outlaw country piedmont blues progressive bluegrass traditional blues traditional country traditional folk ,,
01Ppu7N8uYJI8SAONo2YZA,Melissa Etheridge,folk folk christmas folk-pop lilith mellow gold new wave pop pop christmas pop rock ,,
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,dirty south rap gangster rap hip hop pop rap rap southern hip hop trap music ,,
01rgao9OzfBm2BOHWJpi1Y,Espinoza Paz,banda duranguense grupera latin latin pop mariachi norteno ranchera regional mexican regional mexican pop ,,
022EiWsch2zvty0qBUksDO,Liam Bailey,,,
026v3mvWdRvVdjL67VBySh,Mike Ryan,deep texas country lift kit outlaw country texas country ,,
02cwf63pmoVJ5xtq7JDED4,Andy Borg,discofox schlager volksmusik ,,
02da1vDJ2hWqfK7aJL6SJm,Soul Asylum,alternative rock grunge permanent wave pop rock post-grunge power pop rock ,,
02kJSzxNuaWGqwubyUba0Z,G-Eazy,pop rap rap underground pop rap ,,
02rd0anEWfMtF7iMku9uor,Reba McEntire,contemporary country country country christmas country dawn country road nashville sound traditional country ,,
02Xpf8IlAGeelWAQZP33kQ,Boy Meets Girl,new romantic new wave pop soft rock ,,
03a5eVjzFyQlR4XyVSwt4t,Love and Theft,contemporary country country country road lift kit modern country rock ,,
03ilIKH0i08IxmjKcn63ne,Drake Bell,pop pop christmas post-teen pop ,,
03r4iKL2g2442PT9n2UKsx,Beastie Boys,alternative rock east coast hip hop funk rock gangster rap hip hop old school hip hop rap rock ,,
03tfKFHhDoDqF73vCI3cxn,William Michael Morgan,contemporary country country road lift kit modern country rock ,,
03Yb3iBy9GCifXiATEFcit,Pepe Aguilar,banda grupera latin latin pop mariachi norteno ranchera regional mexican ,,
04abdnqPQe2N4fjztDea6z,Austin Mahone,dance pop pop post-teen pop teen pop viral pop ,,
053AG2nlNwJqBtYiNN0DVd,Ashley Clark,,,
053q0ukIDRgzwTr4vNSwab,Grimes,alternative dance chillwave dream pop escape room grave wave indie pop indie r&b indietronica metropopolis new rave pop shimmer pop synthpop ,,
057gc1fxmJ2vkctjQJ7Tal,The Buggles,dance rock new romantic new wave new wave pop synthpop zolo ,,
05c6W2NfXx6jxO28OGfPRA,Larry Sparks,appalachian folk bluegrass old-time progressive bluegrass ,,
05FEKb23HHED5ZsWmKo8kz,Billy Joe Shaver,alternative country country christmas country gospel country rock cowboy western folk nashville sound new americana outlaw country roots rock southern rock texas country traditional country traditional folk western swing ,,
05fG473iIaoy82BF1aGhL8,Slipknot,alternative metal nu metal post-grunge rap metal rap rock rock ,,
05fo024EFotg9songSENOZ,CocoRosie,alternative dance anti-folk chamber pop electroclash folk-pop freak folk new rave new weird america ,,
05oH07COxkXKIMt6mIPRee,Brandy,dance pop deep pop r&b hip pop neo soul new jack swing pop pop rap quiet storm r&b urban contemporary ,,
05RZIdfz59ZW2FvFuwnmNK,K-Ci & JoJo,dance pop hip pop neo soul new jack swing pop christmas quiet storm r&b soul christmas urban contemporary ,,
05Sne6IyNxaM7vexMvN84t,Madelyn Victoria,,,
05tyvnDgYMhgagYbUx9td4,Jacob Whitesides,channel pop pop post-teen pop teen pop viral pop ,,
05ZgImABuAAgUw2gX4QB1U,Earl Van Dyke,chicago soul deep motown motown northern soul ,,
06bDwgCHeMAwhgI8il4Y5k,Set It Off,electropowerpop emo otacore pixie pop emo pop punk punk christmas ,,
06hC4FCcHy4f295XTV1qrF,Red Steagall,cowboy western western swing ,,
06nP4lRIXf57RcpdbZ9ubW,KAOS777,,,
06V8t2cyf9YYXTGrCGZzHy,Sanek,,,
070kGpqtESdDsLb3gdMIyx,Easton Corbin,contemporary country country country road lift kit modern country rock redneck ,,
07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,deep indie r&b deep pop r&b escape room hip hop indie r&b neo soul pop rap r&b rap southern hip hop underground hip hop urban contemporary ,,
07QEuhtrNmmZ0zEcqE9SF6,Owl City,modern rock neo mellow pop pop punk pop rock post-teen pop viral pop ,,
07XSN3sPlIlB2L2XNcTwJw,KISS,album rock classic rock glam metal glam rock hard rock metal rock ,,
085pc2PYOi8bGKj0PNjekA,will.i.am,dance pop pop pop rap post-teen pop r&b tropical house ,,
08avsqaGIlK2x3i2Cu7rKH,Keith Richards,blues blues-rock british blues chicago blues classic rock delta blues electric blues folk christmas mellow gold pub rock rock roots rock texas blues traditional blues ,,
08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,alternative rock mellow gold neo mellow pop christmas pop rock post-grunge rock singer-songwriter ,,
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,album rock british folk classic rock folk folk rock mellow gold nasheed rock roots rock singer-songwriter soft rock ,,
08fvWshbReeOVorxMtddh2,Kasey Tyndall,,,
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,album rock british blues classic rock folk rock mellow gold rock singer-songwriter soft rock ,,
08Ld63UgKrJ0nZnCkzHtzc,Project Pat,crunk deep southern trap deep trap dirty south rap gangster rap memphis hip hop pop rap rap southern hip hop trap music ,,
08obiQI3tas0efMsb0J2s0,Christa Behnke,ballroom ,,
08p7B5OtcUuVblvkQIlBhJ,Tyrese,dance pop deep pop r&b dirty south rap hip pop neo soul new jack swing pop rap quiet storm r&b southern hip hop trap music urban contemporary ,,
08qaG5crPMPF7i0h2wORk5,Drew Baldridge,contemporary country country road lift kit modern country rock ,,
08rMCq2ek1YjdDBsCPVH2s,Amerie,dance pop deep indie r&b deep pop r&b hip pop indie r&b neo soul new jack swing pop r&b urban contemporary ,,
090VebphoycdEyH165iMqc,Shirley Bassey,adult standards brill building pop cabaret christmas disco easy listening jazz christmas lounge operatic pop vocal jazz ,,
09d07NXpVZ0OcrPT62TFIX,The Notionaries,indie rockism ok indie ,,
09eqc4LkRT3zK2exxUamP0,ATK,,,
09YcaOdPZUwCrEX7V3U8cy,a country sound,,,
0A0FS04o6zMoto8OKPsDwY,YG,dwn trap gangster rap hip hop pop rap rap southern hip hop trap music ,,
0a6gUJS4w063geodSs3jot,Neal Coty,deep contemporary country ,,
0AAUWYwZqrnuwkjMCO5OX7,Casey James,contemporary country country road idol modern country rock ,,
